<name3> = <val6>	<name3> に <val6> を入れる
round ( <name1> , 1 )	<name1> を小数点第一位までに丸めた値を算出する
round ( <name1> , 1 )	小数点第一位までに <name1> を丸めた値を計算する
round ( <name1> , -1 )	<name1> を十の位までに丸めた値
round ( <name2> , -1 )	十の位までに <name2> を丸めた値
round ( <name1> , -1 )	十の位までに <name1> を丸めた値
round ( <name6> , -1 )	<name6> を十の位までに丸めた値を求める
round ( <name1> , -1 )	<name1> を十の位までに丸めた値を求める
round ( <name3> , -1 )	十の位までに <name3> を丸めた値を計算する
round ( <name1> , -1 )	十の位までに <name1> を丸めた値を計算する
max ( <name4> , <name2> , <name5> )	<name4> 、 <name2> 、 <name5> の中で一番大きい値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番大きい値
max ( <name3> , <name1> , <name5> )	<name3> 、 <name1> 、 <name5> のうち最大の値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうち最大の値
max ( <name2> , <name5> , <name4> )	<name2> 、 <name5> 、 <name4> の中でもっとも大きい値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中でもっとも大きい値
max ( <name4> , <name6> , <name1> )	<name4> 、 <name6> 、 <name1> のうちもっとも大きい値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうちもっとも大きい値
max ( <name1> , <name6> , <name2> )	<name1> 、 <name6> 、 <name2> の中で一番大きい値を算出する
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番大きい値を算出する
max ( <name4> , <name2> , <name5> )	<name4> 、 <name2> 、 <name5> のうちもっとも大きい値を計算する
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうちもっとも大きい値を計算する
max ( <name3> , <name6> , <name1> )	<name3> 、 <name6> 、 <name1> の中でもっとも大きい値を求める
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中でもっとも大きい値を求める
max ( <name3> , <name6> , <name5> )	<name3> 、 <name6> 、 <name5> のうち最大の値を求める
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうち最大の値を求める
max ( <name2> , <name1> , <name3> )	<name2> 、 <name1> 、 <name3> の最大値
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最大値
max ( <name1> , <name4> , <name2> )	<name1> 、 <name4> 、 <name2> の最大値を算出する
max ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最大値を算出する
min ( <name4> , <name3> , <name1> )	<name4> 、 <name3> 、 <name1> の中で一番小さい値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番小さい値
min ( <name4> , <name6> , <name3> )	<name4> 、 <name6> 、 <name3> の中でもっとも小さい値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中でもっとも小さい値
min ( <name3> , <name2> , <name5> )	<name3> 、 <name2> 、 <name5> のうちもっとも小さい値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうちもっとも小さい値
min ( <name1> , <name4> , <name2> )	<name1> 、 <name4> 、 <name2> のうち最小の値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうち最小の値
min ( <name3> , <name4> , <name5> )	<name3> 、 <name4> 、 <name5> の中で一番小さい値を求める
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中で一番小さい値を求める
min ( <name1> , <name2> , <name6> )	<name1> 、 <name2> 、 <name6> のうち最小の値を計算する
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうち最小の値を計算する
min ( <name2> , <name1> , <name6> )	<name2> 、 <name1> 、 <name6> の中でもっとも小さい値を算出する
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の中でもっとも小さい値を算出する
min ( <name2> , <name1> , <name6> )	<name2> 、 <name1> 、 <name6> のうちもっとも小さい値を計算する
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> のうちもっとも小さい値を計算する
min ( <name1> , <name6> , <name3> )	<name1> 、 <name6> 、 <name3> の最小値
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最小値
min ( <name2> , <name5> , <name1> )	<name2> 、 <name5> 、 <name1> の最小値を求める
min ( <name1> , <name2> , <name3> )	<name1> 、 <name2> 、 <name3> の最小値を求める
del <name4>	<name4> をデリートする
del <name1>	<name1> をデリートする
del <name1>	<name1> を削除する
del <name5>	<name5> を消す
del <name1>	<name1> を消す
global <name2>	<name2> をグローバル変数とする
global <name1>	<name1> をグローバル変数とする
nonlocal <name3>	<name3> を非ローカル変数とする
nonlocal <name1>	<name1> を非ローカル変数とする
float ( <name1> )	<name1> を浮動小数点数型に置き換える
float ( <name3> )	<name3> を浮動小数点数にする
float ( <name1> )	<name1> を浮動小数点数にする
float ( <name3> )	浮動小数点数に <name3> を置き換える
float ( <name1> )	浮動小数点数に <name1> を置き換える
float ( <name3> )	<name3> を浮動小数点数型に直す
float ( <name1> )	<name1> を浮動小数点数型に直す
float ( <name5> )	浮動小数点数に <name5> をする
float ( <name1> )	浮動小数点数に <name1> をする
float ( <name6> )	浮動小数点数型に <name6> を置き換える
float ( <name1> )	浮動小数点数型に <name1> を置き換える
float ( <name1> )	<name1> を浮動小数点数に直す
float ( <name1> )	<name1> を浮動小数点数に置き換える
float ( <name3> )	浮動小数点数型に <name3> を直す
float ( <name1> )	浮動小数点数型に <name1> を直す
float ( <name2> )	浮動小数点数に <name2> を直す
float ( <name1> )	浮動小数点数に <name1> を直す
float ( <name5> )	浮動小数点数型に <name5> を変換する
float ( <name1> )	浮動小数点数型に <name1> を変換する
float ( <name2> )	<name2> を浮動小数点数に変換する
float ( <name1> )	<name1> を浮動小数点数に変換する
float ( <name4> )	<name4> を浮動小数点数型にする
float ( <name1> )	<name1> を浮動小数点数型にする
float ( <name1> )	浮動小数点数型に <name1> をする
float ( <name5> )	浮動小数点数に <name5> を変換する
float ( <name1> )	浮動小数点数に <name1> を変換する
<name1> = float ( <name6> )	<name6> を浮動小数点数型に変換し、 <name1> にする
<name1> = float ( <name2> )	<name2> を浮動小数点数型に変換し、 <name1> にする
<name3> = float ( <name6> )	<name6> を浮動小数点数型に変換した結果を <name3> にする
<name1> = float ( <name2> )	<name2> を浮動小数点数型に変換した結果を <name1> にする
<name6> = float ( <name2> )	<name2> を浮動小数点数に置き換え、 <name6> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数に置き換え、 <name1> とする
<name6> = float ( <name5> )	<name5> を浮動小数点数に置き換えた結果を <name6> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数に置き換えた結果を <name1> とする
<name2> = float ( <name5> )	浮動小数点数に <name5> を直して、 <name2> に代入する
<name1> = float ( <name2> )	浮動小数点数に <name2> を直して、 <name1> に代入する
<name6> = float ( <name2> )	浮動小数点数に <name2> を直した結果を <name6> に代入する
<name1> = float ( <name2> )	浮動小数点数に <name2> を直した結果を <name1> に代入する
<name1> = float ( <name6> )	浮動小数点数に <name6> をし、 <name1> にする
<name1> = float ( <name2> )	浮動小数点数に <name2> をし、 <name1> にする
<name1> = float ( <name6> )	浮動小数点数に <name6> をした結果を <name1> にする
<name1> = float ( <name2> )	浮動小数点数に <name2> をした結果を <name1> にする
<name5> = float ( <name1> )	<name1> を浮動小数点数に変換し、 <name5> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数に変換し、 <name1> に代入する
<name1> = float ( <name5> )	<name5> を浮動小数点数に変換した結果を <name1> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数に変換した結果を <name1> とする
<name4> = float ( <name1> )	<name1> を浮動小数点数型に直して、 <name4> にする
<name1> = float ( <name2> )	<name2> を浮動小数点数型に直して、 <name1> にする
<name5> = float ( <name4> )	<name4> を浮動小数点数型に直した結果を <name5> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数型に直した結果を <name1> とする
<name6> = float ( <name2> )	浮動小数点数に <name2> を置き換え、 <name6> とする
<name1> = float ( <name2> )	浮動小数点数に <name2> を置き換え、 <name1> とする
<name2> = float ( <name1> )	浮動小数点数に <name1> を置き換えた結果を <name2> に代入する
<name1> = float ( <name2> )	浮動小数点数に <name2> を置き換えた結果を <name1> に代入する
<name4> = float ( <name1> )	<name1> を浮動小数点数にし、 <name4> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数にし、 <name1> に代入する
<name6> = float ( <name3> )	<name3> を浮動小数点数にされた結果を <name6> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数にされた結果を <name1> とする
<name3> = float ( <name1> )	<name1> を浮動小数点数に直して、 <name3> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数に直して、 <name1> に代入する
<name4> = float ( <name6> )	<name6> を浮動小数点数に直した結果を <name4> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数に直した結果を <name1> とする
<name6> = float ( <name4> )	<name4> を浮動小数点数型に置き換えて、 <name6> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数型に置き換えて、 <name1> とする
<name4> = float ( <name1> )	<name1> を浮動小数点数型に置き換えた結果を <name4> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数型に置き換えた結果を <name1> とする
<name5> = float ( <name6> )	浮動小数点数型に <name6> を直して、 <name5> にする
<name1> = float ( <name2> )	浮動小数点数型に <name2> を直して、 <name1> にする
<name3> = float ( <name1> )	浮動小数点数型に <name1> を直した結果を <name3> に代入する
<name1> = float ( <name2> )	浮動小数点数型に <name2> を直した結果を <name1> に代入する
<name4> = float ( <name3> )	<name3> を浮動小数点数型にし、 <name4> に代入する
<name1> = float ( <name2> )	<name2> を浮動小数点数型にし、 <name1> に代入する
<name3> = float ( <name4> )	<name4> を浮動小数点数型にした結果を <name3> にする
<name1> = float ( <name2> )	<name2> を浮動小数点数型にした結果を <name1> にする
<name2> = float ( <name3> )	浮動小数点数型に <name3> をし、 <name2> とする
<name1> = float ( <name2> )	浮動小数点数型に <name2> をし、 <name1> とする
<name6> = float ( <name4> )	浮動小数点数型に <name4> をした結果を <name6> に代入する
<name1> = float ( <name2> )	浮動小数点数型に <name2> をした結果を <name1> に代入する
<name1> = float ( <name3> )	浮動小数点数に <name3> を変換し、 <name1> とする
<name1> = float ( <name2> )	浮動小数点数に <name2> を変換し、 <name1> とする
<name5> = float ( <name6> )	浮動小数点数に <name6> を変換された結果を <name5> とする
<name1> = float ( <name2> )	浮動小数点数に <name2> を変換された結果を <name1> とする
<name4> = float ( <name3> )	浮動小数点数型に <name3> を置き換え、 <name4> に代入する
<name1> = float ( <name2> )	浮動小数点数型に <name2> を置き換え、 <name1> に代入する
<name6> = float ( <name1> )	浮動小数点数型に <name1> を置き換えた結果を <name6> にする
<name1> = float ( <name2> )	浮動小数点数型に <name2> を置き換えた結果を <name1> にする
<name2> = float ( <name4> )	浮動小数点数型に <name4> を変換して、 <name2> とする
<name1> = float ( <name2> )	浮動小数点数型に <name2> を変換して、 <name1> とする
<name2> = float ( <name4> )	浮動小数点数型に <name4> を変換した結果を <name2> とする
<name1> = float ( <name2> )	浮動小数点数型に <name2> を変換した結果を <name1> とする
float ( <name1> )	<name1> を変換した浮動小数点数
<name4> = float ( <name1> )	<name1> を変換した浮動小数点数を <name4> に代入する
<name1> = float ( <name2> )	<name2> を変換した浮動小数点数を <name1> に代入する
