<name4> = <val1>	<name4> に <val1> を代入する
math . acosh ( <name6> )	<name6> の逆双曲線余弦を求める
math . acosh ( <name1> )	<name1> の逆双曲線余弦を求める
<name5> = math . acosh ( <name6> )	<name6> の逆双曲線余弦を <name5> にする
<name1> = math . acosh ( <name2> )	<name2> の逆双曲線余弦を <name1> にする
math . asinh ( <name1> )	<name1> の逆双曲線正弦
math . asinh ( <name4> )	<name4> の逆双曲線正弦を表示する
math . asinh ( <name1> )	<name1> の逆双曲線正弦を表示する
math . asinh ( <name1> )	<name1> の逆双曲線正弦を求める
<name2> = math . asinh ( <name5> )	<name5> の逆双曲線正弦を <name2> とする
<name1> = math . asinh ( <name2> )	<name2> の逆双曲線正弦を <name1> とする
math . atanh ( <name4> )	<name4> の逆双曲線正接
math . atanh ( <name1> )	<name1> の逆双曲線正接
math . atanh ( <name4> )	<name4> の逆双曲線正接を確認する
math . atanh ( <name1> )	<name1> の逆双曲線正接を確認する
math . atanh ( <name5> )	<name5> の逆双曲線正接を求める
math . atanh ( <name1> )	<name1> の逆双曲線正接を求める
<name5> = math . atanh ( <name3> )	<name3> の逆双曲線正接を <name5> に代入する
<name1> = math . atanh ( <name2> )	<name2> の逆双曲線正接を <name1> に代入する
math . cosh ( <name2> )	<name2> の双曲線余弦
math . cosh ( <name1> )	<name1> の双曲線余弦
math . cosh ( <name2> )	<name2> の双曲線余弦を見る
math . cosh ( <name1> )	<name1> の双曲線余弦を見る
math . cosh ( <name4> )	<name4> の双曲線余弦を求める
math . cosh ( <name1> )	<name1> の双曲線余弦を求める
<name3> = math . cosh ( <name6> )	<name6> の双曲線余弦を <name3> にする
<name1> = math . cosh ( <name2> )	<name2> の双曲線余弦を <name1> にする
math . sinh ( <name6> )	<name6> の双曲線正弦
math . sinh ( <name1> )	<name1> の双曲線正弦
math . sinh ( <name5> )	<name5> の双曲線正弦を見る
math . sinh ( <name1> )	<name1> の双曲線正弦を見る
math . sinh ( <name3> )	<name3> の双曲線正弦を求める
math . sinh ( <name1> )	<name1> の双曲線正弦を求める
<name5> = math . sinh ( <name3> )	<name3> の双曲線正弦を <name5> にする
<name1> = math . sinh ( <name2> )	<name2> の双曲線正弦を <name1> にする
math . tanh ( <name2> )	<name2> の双曲線正接
math . tanh ( <name1> )	<name1> の双曲線正接
math . tanh ( <name4> )	<name4> の双曲線正接を表示する
math . tanh ( <name1> )	<name1> の双曲線正接を表示する
math . tanh ( <name6> )	<name6> の双曲線正接を求める
math . tanh ( <name1> )	<name1> の双曲線正接を求める
<name1> = math . tanh ( <name3> )	<name3> の双曲線正接を <name1> とする
<name1> = math . tanh ( <name2> )	<name2> の双曲線正接を <name1> とする
math . dist ( <name4> , <name1> )	<name4> と <name1> のユークリッド距離
math . dist ( <name1> , <name2> )	<name1> と <name2> のユークリッド距離
math . dist ( <name2> , <name4> )	<name2> と <name4> のユークリッド距離を確認する
math . dist ( <name1> , <name2> )	<name1> と <name2> のユークリッド距離を確認する
math . dist ( <name6> , <name1> )	<name6> と <name1> のユークリッド距離を求める
math . dist ( <name1> , <name2> )	<name1> と <name2> のユークリッド距離を求める
<name2> = math . dist ( <name5> , <name3> )	<name5> と <name3> のユークリッド距離を <name2> にする
<name1> = math . dist ( <name2> , <name3> )	<name2> と <name3> のユークリッド距離を <name1> にする
math . hypot ( <name6> , <name2> )	<name6> と <name2> のノルム
math . hypot ( <name1> , <name2> )	<name1> と <name2> のノルム
math . hypot ( <name6> , <name2> )	<name6> と <name2> のノルムをチェックする
math . hypot ( <name1> , <name2> )	<name1> と <name2> のノルムをチェックする
math . hypot ( <name5> , <name3> )	<name5> と <name3> のノルムを求める
math . hypot ( <name1> , <name2> )	<name1> と <name2> のノルムを求める
<name6> = math . hypot ( <name5> , <name4> )	<name5> と <name4> のノルムを <name6> に代入する
<name1> = math . hypot ( <name2> , <name3> )	<name2> と <name3> のノルムを <name1> に代入する
math . hypot ( <name1> , <name3> )	原点からの ( <name1> , <name3> ) の距離
math . hypot ( <name1> , <name2> )	原点からの ( <name1> , <name2> ) の距離
math . hypot ( <name2> , <name1> )	原点からの ( <name2> , <name1> ) の距離を見る
math . hypot ( <name1> , <name2> )	原点からの ( <name1> , <name2> ) の距離を見る
math . hypot ( <name4> , <name5> )	原点からの ( <name4> , <name5> ) の距離を算出する
math . hypot ( <name1> , <name2> )	原点からの ( <name1> , <name2> ) の距離を算出する
<name5> = math . hypot ( <name4> , <name6> )	原点からの ( <name4> , <name6> ) の距離を <name5> に代入する
<name1> = math . hypot ( <name2> , <name3> )	原点からの ( <name2> , <name3> ) の距離を <name1> に代入する
math . gamma ( <name4> )	<name4> のガンマ関数
math . gamma ( <name1> )	<name1> のガンマ関数
math . gamma ( <name3> )	<name3> のガンマ関数を表示する
math . gamma ( <name1> )	<name1> のガンマ関数を表示する
math . gamma ( <name6> )	<name6> のガンマ関数を算出する
math . gamma ( <name1> )	<name1> のガンマ関数を算出する
<name4> = math . gamma ( <name6> )	<name6> のガンマ関数を <name4> とする
<name1> = math . gamma ( <name2> )	<name2> のガンマ関数を <name1> とする
math . lgamma ( <name1> )	<name1> のガンマ関数の絶対値の自然対数
math . lgamma ( <name1> )	<name1> のガンマ関数の絶対値の自然対数を見る
math . lgamma ( <name5> )	<name5> のガンマ関数の絶対値の自然対数を求める
math . lgamma ( <name1> )	<name1> のガンマ関数の絶対値の自然対数を求める
<name3> = math . lgamma ( <name1> )	<name1> のガンマ関数の絶対値の自然対数を <name3> に代入する
<name1> = math . lgamma ( <name2> )	<name2> のガンマ関数の絶対値の自然対数を <name1> に代入する
math . pi	円周率
math . pi	円周率をチェックする
math . pi	円周率を算出する
math . e	ネイピア数
math . e	ネイピア数を確認する
math . e	ネイピア数を算出する
math . inf	無限大
math . inf	無限大を確認する
math . inf	無限大を算出する
math . nan	NaN
math . nan	NaN を確認する
math . nan	NaN を算出する
import <name5>	<name5> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
copy . copy ( <name1> )	<name1> をコピーした結果
copy . deepcopy ( <name3> )	<name3> を深くコピーした結果
copy . deepcopy ( <name1> )	<name1> を深くコピーした結果
import <name3>	<name3> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
bisect . bisect_left ( <name1> , <name5> )	ソートされた順序を保ったまま <name5> を <name1> に挿入できる位置
bisect . bisect_left ( <name1> , <name2> )	ソートされた順序を保ったまま <name2> を <name1> に挿入できる位置
bisect . bisect_right ( <name3> , <name4> )	ソートされた順序を保ったまま <name4> を <name3> に挿入できる最後の位置
bisect . bisect_right ( <name1> , <name2> )	ソートされた順序を保ったまま <name2> を <name1> に挿入できる最後の位置
bisect . insort_left ( <name1> , <name4> )	<name4> を <name1> にソート順で挿入する
bisect . insort_left ( <name1> , <name2> )	<name2> を <name1> にソート順で挿入する
bisect . insort_right ( <name6> , <name1> )	<name1> を <name6> にソート順で最後に挿入する
bisect . insort_right ( <name1> , <name2> )	<name2> を <name1> にソート順で最後に挿入する
import <name4>	<name4> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
itertools . repeat ( <val1> )	<val1> の無限列
itertools . repeat ( <val1> , <val6> )	<val1> の <val6> 回続く列
itertools . repeat ( <val1> , <val2> )	<val1> の <val2> 回続く列
itertools . count ( )	無限にカウントアップする整数列
itertools . count ( <val1> )	<val1> からカウントアップする無限の整数列
itertools . count ( <val1> , <val4> )	<val1> から始まり <val4> 間隔でカウントアップする無限の整数列
itertools . count ( <val1> , <val2> )	<val1> から始まり <val2> 間隔でカウントアップする無限の整数列
itertools . cycle ( <name6> )	<name6> を無限に繰り返した列
itertools . cycle ( <name1> )	<name1> を無限に繰り返した列
itertools . product ( <name1> , <name4> )	<name1> と <name4> の直積
itertools . product ( <name1> , <name2> )	<name1> と <name2> の直積
itertools . permutations ( <name2> )	<name2> の順列
itertools . permutations ( <name1> )	<name1> の順列
itertools . permutations ( <name5> , <val4> )	<name5> のうち <val4> 個までの順列
itertools . permutations ( <name1> , <val2> )	<name1> のうち <val2> 個までの順列
itertools . combinations ( <name3> , <val2> )	<name3> のうち <val2> 個までの組み合わせ
itertools . combinations ( <name1> , <val2> )	<name1> のうち <val2> 個までの組み合わせ
itertools . combinations_with_replacement ( <name6> , <val3> )	<name6> のうち <val3> 個までの重複組み合わせ
itertools . combinations_with_replacement ( <name1> , <val2> )	<name1> のうち <val2> 個までの重複組み合わせ
import <name1>	<name1> モジュールを用いる
collections . deque ( )	deque オブジェクトを作る
<name4> = collections . deque ( )	deque オブジェクトを作成し、 <name4> に代入する
<name1> = collections . deque ( )	deque オブジェクトを作成し、 <name1> に代入する
<name2> = collections . deque ( )	deque オブジェクトを作成した結果を <name2> とする
<name1> = collections . deque ( )	deque オブジェクトを作成した結果を <name1> とする
collections . deque ( <name5> )	<name5> から deque オブジェクトを作成する
collections . deque ( <name1> )	<name1> から deque オブジェクトを作成する
<name1> = collections . deque ( <name5> )	<name5> から deque オブジェクトを作成して、 <name1> に代入する
<name1> = collections . deque ( <name2> )	<name2> から deque オブジェクトを作成して、 <name1> に代入する
<name5> = collections . deque ( <name6> )	<name6> から deque オブジェクトを作成した結果を <name5> とする
<name1> = collections . deque ( <name2> )	<name2> から deque オブジェクトを作成した結果を <name1> とする
maxlen = <val3>	<val3> を最大長として
maxlen = <val1>	<val1> を最大長として
<name5> . appendleft ( <val6> )	<name5> の左側に <val6> を追加する
<name1> . appendleft ( <val2> )	<name1> の左側に <val2> を追加する
<name6> . appendleft ( <val1> )	<name6> の最初を <val1> で拡張する
<name1> . appendleft ( <val2> )	<name1> の最初を <val2> で拡張する
<name2> . popleft ( )	<name2> の先頭から取り除いた値
<name1> . popleft ( )	<name1> の先頭から取り除いた値
<name3> . rotate ( )	<name3> の要素を右にひとつローテート直す
<name1> . rotate ( )	<name1> の要素を右にひとつローテート直す
<name5> . rotate ( <val1> )	<name5> の要素を右に <val1> つずつローテートする
<name1> . rotate ( <val2> )	<name1> の要素を右に <val2> つずつローテートする
collections . Counter ( <name3> )	<name3> の辞書カウンタ
collections . Counter ( <name1> )	<name1> の辞書カウンタ
<name6> = collections . Counter ( <name1> )	<name1> の辞書カウンタを <name6> とする
<name1> = collections . Counter ( <name2> )	<name2> の辞書カウンタを <name1> とする
<name3> . most_common ( )	<name3> の出現回数順の列
<name1> . most_common ( )	<name1> の出現回数順の列
<name4> . most_common ( <val2> )	<name4> の上位 <val2> 位までの出現回数順の列
<name1> . most_common ( <val2> )	<name1> の上位 <val2> 位までの出現回数順の列
import <name5>	<name5> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
os . sep	ファイルパスのセパレータ記号
os . getcwd	現在の作業ディレクトリ
os . system	コマンド
os . path . basename ( <name4> )	パス文字列 <name4> のファイル名
os . path . basename ( <name1> )	パス文字列 <name1> のファイル名
os . path . dirname ( <name1> )	パス <name1> のディレクトリ名
os . path . abspath ( <name5> )	パス文字列 <name5> の絶対ファイルパス
os . path . abspath ( <name1> )	パス文字列 <name1> の絶対ファイルパス
os . path . split ( <name4> )	パス文字列 <name4> のディレクトリ名とファイル名
os . path . split ( <name1> )	パス文字列 <name1> のディレクトリ名とファイル名
os . path . join ( <val6> , <val1> , <val5> )	<val6> と <val1> と <val5> を連結したファイルパス
os . path . join ( <val1> , <val2> , <val3> )	<val1> と <val2> と <val3> を連結したファイルパス
os . path . splitext ( <name4> )	パス文字列 <name4> のファイル名と拡張子
os . path . splitext ( <name1> )	パス文字列 <name1> のファイル名と拡張子
os . path . get_size ( <name1> )	パス文字列 <name1> のファイルの大きさ
import <name6>	<name6> モジュールをインポートする
import <name1>	<name1> モジュールをインポートする
sys . exit ( )	プログラムを終了する
import <name1>	<name1> モジュールをインポートする
datetime . datetime . now ( )	現在の日時
datetime . datetime ( <name5> , <name4> , <name6> )	<name5> 年 <name4> 月 <name6> 日の日時
datetime . datetime ( <name1> , <name2> , <name3> )	<name1> 年 <name2> 月 <name3> 日の日時
datetime . datetime ( <name4> , <name3> , <name6> , <name2> , <name1> )	<name4> 年 <name3> 月 <name6> 日 <name2> 時 <name1> 分の日時
datetime . datetime ( <name1> , <name2> , <name3> , <name4> , <name5> )	<name1> 年 <name2> 月 <name3> 日 <name4> 時 <name5> 分の日時
datetime . datetime ( <name1> , <name6> , <name3> , <name4> , <name5> , <name2> )	<name1> 年 <name6> 月 <name3> 日 <name4> 時 <name5> 分 <name2> 秒の日時
datetime . datetime ( <name1> , <name2> , <name3> , <name4> , <name5> , <name6> )	<name1> 年 <name2> 月 <name3> 日 <name4> 時 <name5> 分 <name6> 秒の日時
re . search ( <name3> , <name5> )	<name5> において正規表現 <name3> のパターンが最初にマッチする位置
re . search ( <name1> , <name2> )	<name2> において正規表現 <name1> のパターンが最初にマッチする位置
re . match ( <name4> , <name3> )	<name3> の先頭に正規表現 <name4> のパターンをマッチさせた結果
re . match ( <name1> , <name2> )	<name2> の先頭に正規表現 <name1> のパターンをマッチさせた結果
re . fullmatch ( <name1> , <name6> )	<name6> 全体において正規表現 <name1> のパターンをマッチさせた結果
re . fullmatch ( <name1> , <name2> )	<name2> 全体において正規表現 <name1> のパターンをマッチさせた結果
re . split ( <name6> , <name1> )	<name1> を正規表現 <name6> のパターンにマッチした箇所で分割した文字列リスト
re . split ( <name1> , <name2> )	<name2> を正規表現 <name1> のパターンにマッチした箇所で分割した文字列リスト
re . sub ( <name2> , <name5> , <name1> )	<name1> 内の正規表現 <name2> のパターンにマッチした箇所を <name5> に置き換えた文字列
re . sub ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列
re . subn ( <name3> , <name2> , <name6> )	<name6> 内の正規表現 <name3> のパターンにマッチした箇所を <name2> に置き換えた文字列と置き換えた箇所の数
re . subn ( <name1> , <name2> , <name3> )	<name3> 内の正規表現 <name1> のパターンにマッチした箇所を <name2> に置き換えた文字列と置き換えた箇所の数
re . findall ( <name3> , <name6> )	<name6> が正規表現 <name3> のパターンにマッチした文字列のリスト
re . findall ( <name1> , <name2> )	<name2> が正規表現 <name1> のパターンにマッチした文字列のリスト
re . compile ( <name4> )	<name4> を正規表現にコンパイルした結果
re . compile ( <name1> )	<name1> を正規表現にコンパイルした結果
